2025-09-11 19:32:51 | INFO | Sent message to topic 'buzzline_json': {'message': 'Have a great day! Unless your code crashes.', 'author': 'Charlie'}
2025-09-11 19:32:52 | INFO | Sent message to topic 'buzzline_json': {'message': 'Buzz messages are just test messages.', 'author': 'Alice'}
2025-09-11 19:32:53 | INFO | Sent message to topic 'buzzline_json': {'message': 'Kafka is cool, but hard to set up.', 'author': 'Diana'}
2025-09-11 19:32:54 | INFO | Sent message to topic 'buzzline_json': {'message': 'Hello, Kafka world! Hope this works.', 'author': 'Bob'}
2025-09-11 19:32:55 | INFO | Sent message to topic 'buzzline_json': {'message': 'This is a buzz message. Not sure what it does.', 'author': 'Eve'}
2025-09-11 19:32:56 | INFO | Sent message to topic 'buzzline_json': {'message': 'JSON is easy, until you mess up the brackets.', 'author': 'Morgan'}
2025-09-11 19:32:57 | INFO | Sent message to topic 'buzzline_json': {'message': 'I love Python! Except when I get errors.', 'author': 'Taylor'}
2025-09-11 19:32:58 | INFO | Sent message to topic 'buzzline_json': {'message': 'Streaming data is fun, but sometimes it stops.', 'author': 'Alex'}
2025-09-11 19:32:59 | INFO | Opening data file in read mode: PROJECT_ROOT/data/buzz.json
2025-09-11 19:32:59 | INFO | Reading data from file: PROJECT_ROOT/data/buzz.json
2025-09-11 19:32:59 | INFO | Sent message to topic 'buzzline_json': {'message': 'Data engineering is confusing sometimes.', 'author': 'Eve'}
2025-09-11 19:33:00 | INFO | Sent message to topic 'buzzline_json': {'message': 'Distributed systems break a lot.', 'author': 'Alice'}
2025-09-11 19:33:01 | INFO | Sent message to topic 'buzzline_json': {'message': 'Have a great day! Unless your code crashes.', 'author': 'Charlie'}
2025-09-11 19:33:02 | INFO | Sent message to topic 'buzzline_json': {'message': 'Buzz messages are just test messages.', 'author': 'Alice'}
2025-09-11 19:33:03 | INFO | Sent message to topic 'buzzline_json': {'message': 'Kafka is cool, but hard to set up.', 'author': 'Diana'}
2025-09-11 19:33:04 | INFO | Sent message to topic 'buzzline_json': {'message': 'Hello, Kafka world! Hope this works.', 'author': 'Bob'}
2025-09-11 19:33:04 | WARNING | Producer interrupted by user.
2025-09-11 19:33:04 | INFO | Kafka producer closed.
2025-09-11 19:33:04 | INFO | END producer.
2025-09-11 19:43:50 | INFO | Logging to file: logs/project_log.log
2025-09-11 19:43:50 | INFO | Log sanitization enabled, personal info removed
2025-09-11 19:43:50 | INFO | START consumer.
2025-09-11 19:43:50 | INFO | Kafka topic: buzzline_json
2025-09-11 19:43:50 | INFO | Kafka consumer group id: buzz_group
2025-09-11 19:43:50 | INFO | Consumer: Topic 'buzzline_json' and group 'buzz_group'...
2025-09-11 19:43:51 | INFO | Kafka broker address: localhost:9092
