2025-09-11 19:46:07 | INFO | Consumer: Topic 'buzzline_json' and group 'buzz_group'...
2025-09-11 19:46:07 | INFO | Kafka broker address: localhost:9092
2025-09-11 19:46:07 | INFO | Creating Kafka consumer. Topic='buzzline_json' and group ID='buzz_group'.
2025-09-11 19:46:07 | INFO | Kafka consumer created successfully.
2025-09-11 19:46:07 | INFO | Polling messages from topic 'buzzline_json'...
2025-09-11 19:46:08 | INFO | Sent message to topic 'buzzline_json': {'message': 'Buzz messages are just test messages.', 'author': 'Alice'}
2025-09-11 19:46:09 | INFO | Sent message to topic 'buzzline_json': {'message': 'Kafka is cool, but hard to set up.', 'author': 'Diana'}
2025-09-11 19:46:10 | INFO | Sent message to topic 'buzzline_json': {'message': 'Hello, Kafka world! Hope this works.', 'author': 'Bob'}
2025-09-11 19:46:11 | INFO | Processed JSON message: {'message': 'Have a great day! Unless your code crashes.', 'author': 'Charlie'}
2025-09-11 19:46:11 | INFO | Message received from author: Charlie
2025-09-11 19:46:11 | INFO | Updated author counts: {'Charlie': 1}
2025-09-11 19:46:11 | INFO | Processed JSON message: {'message': 'Buzz messages are just test messages.', 'author': 'Alice'}
2025-09-11 19:46:11 | INFO | Message received from author: Alice
2025-09-11 19:46:11 | INFO | Updated author counts: {'Charlie': 1, 'Alice': 1}
2025-09-11 19:46:11 | INFO | Processed JSON message: {'message': 'Kafka is cool, but hard to set up.', 'author': 'Diana'}
2025-09-11 19:46:11 | INFO | Message received from author: Diana
2025-09-11 19:46:11 | INFO | Updated author counts: {'Charlie': 1, 'Alice': 1, 'Diana': 1}
2025-09-11 19:46:11 | INFO | Processed JSON message: {'message': 'Hello, Kafka world! Hope this works.', 'author': 'Bob'}
2025-09-11 19:46:11 | INFO | Message received from author: Bob
2025-09-11 19:46:11 | INFO | Updated author counts: {'Charlie': 1, 'Alice': 1, 'Diana': 1, 'Bob': 1}
2025-09-11 19:46:11 | INFO | Processed JSON message: {'message': 'This is a buzz message. Not sure what it does.', 'author': 'Eve'}
2025-09-11 19:46:11 | INFO | Message received from author: Eve
2025-09-11 19:46:11 | INFO | Updated author counts: {'Charlie': 1, 'Alice': 1, 'Diana': 1, 'Bob': 1, 'Eve': 1}
2025-09-11 19:46:11 | INFO | Processed JSON message: {'message': 'JSON is easy, until you mess up the brackets.', 'author': 'Morgan'}
2025-09-11 19:46:11 | INFO | Message received from author: Morgan
2025-09-11 19:46:11 | INFO | Updated author counts: {'Charlie': 1, 'Alice': 1, 'Diana': 1, 'Bob': 1, 'Eve': 1, 'Morgan': 1}
2025-09-11 19:46:11 | INFO | Processed JSON message: {'message': 'I love Python! Except when I get errors.', 'author': 'Taylor'}
2025-09-11 19:46:11 | WARNING | ALERT: Pattern matched in message: {'message': 'I love Python! Except when I get errors.', 'author': 'Taylor'}
2025-09-11 19:46:11 | INFO | Message received from author: Taylor
2025-09-11 19:46:11 | INFO | Updated author counts: {'Charlie': 1, 'Alice': 1, 'Diana': 1, 'Bob': 1, 'Eve': 1, 'Morgan': 1, 'Taylor': 1}
2025-09-11 19:46:11 | INFO | Processed JSON message: {'message': 'Streaming data is fun, but sometimes it stops.', 'author': 'Alex'}
2025-09-11 19:46:11 | INFO | Message received from author: Alex
2025-09-11 19:46:11 | INFO | Updated author counts: {'Charlie': 1, 'Alice': 1, 'Diana': 1, 'Bob': 1, 'Eve': 1, 'Morgan': 1, 'Taylor': 1, 'Alex': 1}
2025-09-11 19:46:11 | INFO | Processed JSON message: {'message': 'Data engineering is confusing sometimes.', 'author': 'Eve'}
2025-09-11 19:46:11 | WARNING | ALERT: Pattern matched in message: {'message': 'Data engineering is confusing sometimes.', 'author': 'Eve'}
2025-09-11 19:46:11 | INFO | Message received from author: Eve
2025-09-11 19:46:11 | INFO | Updated author counts: {'Charlie': 1, 'Alice': 1, 'Diana': 1, 'Bob': 1, 'Eve': 2, 'Morgan': 1, 'Taylor': 1, 'Alex': 1}
2025-09-11 19:46:11 | INFO | Processed JSON message: {'message': 'Distributed systems break a lot.', 'author': 'Alice'}
2025-09-11 19:46:11 | INFO | Message received from author: Alice
2025-09-11 19:46:11 | INFO | Updated author counts: {'Charlie': 1, 'Alice': 2, 'Diana': 1, 'Bob': 1, 'Eve': 2, 'Morgan': 1, 'Taylor': 1, 'Alex': 1}
2025-09-11 19:46:11 | INFO | Processed JSON message: {'message': 'Have a great day! Unless your code crashes.', 'author': 'Charlie'}
2025-09-11 19:46:11 | INFO | Message received from author: Charlie
2025-09-11 19:46:11 | INFO | Updated author counts: {'Charlie': 2, 'Alice': 2, 'Diana': 1, 'Bob': 1, 'Eve': 2, 'Morgan': 1, 'Taylor': 1, 'Alex': 1}
2025-09-11 19:46:11 | INFO | Processed JSON message: {'message': 'Buzz messages are just test messages.', 'author': 'Alice'}
2025-09-11 19:46:11 | INFO | Message received from author: Alice
2025-09-11 19:46:11 | INFO | Updated author counts: {'Charlie': 2, 'Alice': 3, 'Diana': 1, 'Bob': 1, 'Eve': 2, 'Morgan': 1, 'Taylor': 1, 'Alex': 1}
2025-09-11 19:46:11 | INFO | Processed JSON message: {'message': 'Kafka is cool, but hard to set up.', 'author': 'Diana'}
2025-09-11 19:46:11 | INFO | Message received from author: Diana
2025-09-11 19:46:11 | INFO | Updated author counts: {'Charlie': 2, 'Alice': 3, 'Diana': 2, 'Bob': 1, 'Eve': 2, 'Morgan': 1, 'Taylor': 1, 'Alex': 1}
2025-09-11 19:46:11 | INFO | Processed JSON message: {'message': 'Hello, Kafka world! Hope this works.', 'author': 'Bob'}
2025-09-11 19:46:11 | INFO | Message received from author: Bob
